// Compost colors for georenouveau. You may add your own colors, change existing ones, or remove colors that aren't needed.
allthemodium_geore_golem_charm, #e88e36
aluminum_geore_golem_charm, #a7c3b5
ancient_debris_geore_golem_charm, #896530
black_quartz_geore_golem_charm, #827c5a
coal_geore_golem_charm, #807243
copper_geore_golem_charm, #d9a562
diamond_geore_golem_charm, #76c397
emerald_geore_golem_charm, #68d048
gold_geore_golem_charm, #deae34
iron_geore_golem_charm, #cdaa61
lapis_geore_golem_charm, #7c89aa
lead_geore_golem_charm, #ab9776
monazite_geore_golem_charm, #b56876
nickel_geore_golem_charm, #a0944e
osmium_geore_golem_charm, #bbcd98
platinum_geore_golem_charm, #acaa8d
quartz_geore_golem_charm, #dcc289
redstone_geore_golem_charm, #d7582a
ruby_geore_golem_charm, #ffbc9a
sapphire_geore_golem_charm, #c2d0e0
silver_geore_golem_charm, #9e9061
tin_geore_golem_charm, #c9d39e
topaz_geore_golem_charm, #ffff94
tungsten_geore_golem_charm, #8a735c
unobtainium_geore_golem_charm, #bc66a0
uraninite_geore_golem_charm, #5c962c
uranium_geore_golem_charm, #9de05c
vibranium_geore_golem_charm, #78ae78
zinc_geore_golem_charm, #afc28c
