// Compost colors for glassential. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_glass_door, #ffd2b6
bamboo_glass_door, #ffffab
birch_glass_door, #fffff1
black_glass_door, #232323
blue_glass_door, #486cfe
brown_glass_door, #916c48
cherry_glass_door, #fffff8
crimson_glass_door, #a85073
cyan_glass_door, #6cb5da
dark_ethereal_door, #4a3751
dark_ethereal_reverse_door, #4b2f4e
dark_oak_glass_door, #a5a794
ethereal_door, #4ffff
ethereal_reverse_door, #4ffff
ghostly_door, #ffffff
glass_dark_ethereal_pane, #39333c
glass_dark_ethereal_reverse_pane, #39323d
glass_door, #ffffff
glass_ethereal_pane, #6bffff
glass_ethereal_reverse_pane, #6bffff
glass_ghostly_pane, #ffffff
glass_light_pane, #ffff8d
glass_light_tinted_pane, #ffff96
glass_painter, #d3afa1
glass_redstone_pane, #ff3916
glass_redstone_tinted_pane, #ff7852
gray_glass_door, #6c6c6c
green_glass_door, #91b548
iron_glass_door, #ffffff
jungle_glass_door, #f8c094
light_blue_glass_door, #91daff
light_door, #ffff8d
light_gray_glass_door, #dadada
lime_glass_door, #b5ff23
magenta_glass_door, #fe6cff
mangrove_glass_door, #b27673
oak_glass_door, #ffffe3
obsidian_door, #ffffff
orange_glass_door, #ffb548
pink_glass_door, #ffb5eb
purple_glass_door, #b55afe
red_glass_door, #da4848
redstone_door, #ff4315
spruce_glass_door, #9e8465
tinted_glass_door, #403943
warped_glass_door, #41beb5
white_glass_door, #ffffff
yellow_glass_door, #ffff48
