// Compost colors for herbsandharvest. You may add your own colors, change existing ones, or remove colors that aren't needed.
aged_cheddar, #ffc557
aged_gouda, #f28d3a
aged_parmesan, #ffe15e
aged_swiss, #fff07d
apple_muffin, #e06b30
apple_pie, #ffcf54
apple_pie_slice, #fff76e
asparagus, #5a9d46
asparagus_seeds, #224722
avocado, #46862f
avocado_fruit_sapling, #689a3c
avocado_toast, #bb8e34
bacon, #f47f73
bagel, #ffb94a
bagel_cream_cheese, #fff4a5
bagel_with_salmon, #ffb84e
barley, #e1ab57
barley_loaf, #ffae4b
barley_seeds, #c3a461
barley_slice, #ffd678
basil_seeds, #473600
bay_leaf_seeds, #393315
beef_cheddar, #fbc058
beef_pie, #ffc951
beef_pie_slice, #ffc958
beef_stew, #785212
beef_stew_pot, #68584b
biscuits_gravy, #ffffd0
black_forest_cake, #693028
black_forest_cake_slice, #7a3a37
black_forest_cupcake, #fad9ca
blackberry, #445e6e
blackberry_jam, #aa7c76
blackberry_seeds, #523723
blueberry, #46668c
blueberry_cheesecake, #a2545e
blueberry_cheesecake_slice, #ca847d
blueberry_muffin, #f5aa70
blueberry_pie, #ffb14d
blueberry_pie_slice, #f5a07d
blueberry_seeds, #442f19
bread_slice, #fecd5f
broccoli, #72b84e
broccoli_cheddar_pot, #84725a
broccoli_cheddar_soup, #947020
broccoli_seeds, #692000
burrito, #ffdd9b
butter, #ffff9b
cabbage, #72b84b
cabbage_seeds, #705c07
caesar_salad, #69a548
camel_milk_bucket, #d4d2cd
caravane, #ffffff
caravane_wedge, #fffff7
carrot_cake, #ffda87
carrot_cake_slice, #ffd68d
carrot_cupcake, #ffeda5
cauliflower, #bcbf83
cauliflower_seeds, #5b4428
celery, #76cc5e
celery_seeds, #9d892f
charcuterie_plate_delftware, #f2d0cd
charcuterie_plate_holiday, #ffbbb4
charcuterie_plate_plain, #ffe0d9
cheddar_wedge, #ffd05a
cheese_cauldron, #555458
cheesecake, #fff49a
cheesecake_slice, #fffeab
chef_salad, #9e753a
cherries, #8c4430
cherry_fruit_sapling, #7d8333
cherry_pie, #ffb147
cherry_pie_slice, #ff9a57
chevre, #ffffff
chevre_wedge, #fffff5
chicken_berry_salad, #89823e
chicken_cutlet, #ffd4bc
chicken_dumplings, #968039
