// Compost colors for occultism. You may add your own colors, change existing ones, or remove colors that aren't needed.
afrit_essence, #fbc5ca
amethyst_dust, #cca7ff
awakened_feather, #fff1ff
beaver_nugget, #ffb241
book_of_binding_afrit, #fbc33a
book_of_binding_bound_afrit, #f2bc39
book_of_binding_bound_djinni, #c66fa2
book_of_binding_bound_foliot, #8284a0
book_of_binding_bound_marid, #948a33
book_of_binding_djinni, #c970a8
book_of_binding_empty, #a88c65
book_of_binding_foliot, #8689a8
book_of_binding_marid, #9a9137
book_of_calling_djinni_manage_machine, #b86c5f
book_of_calling_foliot_cleaner, #ac89b8
book_of_calling_foliot_farmer, #72a46b
book_of_calling_foliot_lumberjack, #cdb84e
book_of_calling_foliot_transport_items, #738eb2
brush, #906e44
burnt_otherrock, #878787
burnt_otherstone, #ffffff
butcher_knife, #dcd9d4
chalk_black, #ffffff
chalk_black_impure, #ffffff
chalk_blue, #ffffff
chalk_blue_impure, #ffffff
chalk_brown, #ffffff
chalk_brown_impure, #ffffff
chalk_cyan, #ffffff
chalk_cyan_impure, #ffffff
chalk_gold, #ffffff
chalk_gray, #ffffff
chalk_gray_impure, #ffffff
chalk_green, #ffffff
chalk_green_impure, #ffffff
chalk_light_blue, #ffffff
chalk_light_blue_impure, #ffffff
chalk_light_gray, #ffffff
chalk_light_gray_impure, #ffffff
chalk_lime, #ffffff
chalk_lime_impure, #ffffff
chalk_magenta, #ffffff
chalk_magenta_impure, #ffffff
chalk_orange, #ffffff
chalk_orange_impure, #ffffff
chalk_pink, #ffffff
chalk_pink_impure, #ffffff
chalk_purple, #ffffff
chalk_purple_impure, #ffffff
chalk_rainbow, #799379
chalk_red, #ffffff
chalk_red_impure, #ffffff
chalk_void, #a5aeb4
chalk_white, #ffffff
chalk_white_impure, #ffffff
chalk_yellow_impure, #ffffff
copper_dust, #eea076
cruelty_essence, #6c4b20
crushed_blackstone, #342a30
crushed_blue_ice, #80c5ff
crushed_calcite, #ffffff
crushed_end_stone, #ffffd2
crushed_ice, #ffffff
crushed_packed_ice, #d0eeff
cursed_honey, #ffe432
datura, #ffdcda
datura_seeds, #524337
debug_wand, #e0d9da
demonic_meat, #ffa0a0
demons_dream_essence, #cfebc9
dragonyst_dust, #d3bfff
echo_dust, #e5c7c
emerald_dust, #5cff5e
ender_satchel, #30544d
entity_wormhole_portal, #867dac
familiar_ring, #ccb4a2
flame_of_automation, #ffc6ab
fragile_soul_gem, #7d7a58
gold_dust, #ffffee
gray_paste, #c3c3c3
iesnium_dust, #7dcce6
iesnium_ingot, #ffffff
iesnium_nugget, #58645b
iesnium_pickaxe, #698c9a
infused_lenses, #d99bff
infused_pickaxe, #f8edfa
iron_dust, #afafaf
knowledge_tablet, #96915b
lapis_dust, #2d6cff
lens_frame, #dce3e6
lenses, #543c6e
magic_lamp_empty, #bccdd6
marid_essence, #54ab96
miner_afrit_deeps, #fff0da
miner_ancient_eldritch, #fff0da
miner_debug_unspecialized, #fff0da
miner_djinni_ores, #fff0da
miner_foliot_unspecialized, #fff0da
miner_marid_master, #fff0da
mining_dim_core, #ddd4cc
mysterious_egg_icon, #979797
nature_paste, #afe780
netherite_dust, #292929
netherite_scrap_dust, #663e34
obsidian_dust, #1c142d
otherflower, #66c9cd
otherplanks_door, #d0c3ed
otherplanks_hanging_sign, #8c7cac
otherplanks_sign, #9884c0
otherrock_frame, #282929
otherstone_frame, #dcdcdc
otherstone_tablet, #9a8479
otherworld_ashes, #ffffff
otherworld_essence, #cdf8e7
otherworld_goggles, #c99a97
otherworld_sapling, #dcc296
pentacle_craft, #9ea7bc
pentacle_misc, #a4acc5
pentacle_possess, #939aae
pentacle_summon, #9da4b9
purified_ink, #ffffff
raw_iesnium, #5fc5ee
raw_silver, #ebebee
repair_icon, #bbbbbb
research_fragment_dust, #d2ff83
resurrect_icon, #d7d7d7
ritual_satchel_t1, #797905
ritual_satchel_t2, #701e30
satchel, #6c1c87
silver_dust, #c3d6dd
silver_ingot, #d9e8f0
silver_nugget, #ff339b
soul_gem, #8c7673
soul_shard, #a29094
spirit_attuned_gem, #ffffff
spirit_attuned_pickaxe_head, #ffffff
spirit_campfire, #fffff1
spirit_fire, #ffffff
spirit_lantern, #ffffff
spirit_torch, #ffffff
storage_remote, #b89e90
storage_remote_inert, #a89486
sweet_honey_heart, #ffb925
taboo_book, #934a22
tallow, #fffffe
trinity_gem, #657975
vitality_compass, #5e4b78
witherite_dust, #d7dcdd
